,pce_yoy
2008-07-31,4.135655023597695
2008-08-31,3.9806273062730657
2008-09-30,3.6678383532060543
2008-10-31,2.6718431480336147
2008-11-30,0.9250293343662008
2008-12-31,0.1295690125477477
2009-01-31,-0.1111035530462767
2009-02-28,-0.1312484442533512
2009-03-31,-0.5257516782309568
2009-04-30,-0.5675739591662121
2009-05-31,-0.8892128279883504
2009-06-30,-1.018624689681269
2009-07-31,-1.4660091971854472
2009-08-31,-1.1001197711041022
2009-09-30,-1.0227486786264397
2009-10-31,0.0133852383130239
2009-11-30,1.4606120122357291
2009-12-31,2.089718268292118
2010-01-31,2.301720615608116
2010-02-28,2.116330183762716
2010-03-31,2.372716033980194
2010-04-30,2.282122430488709
2010-05-31,2.20846957131704
2010-06-30,1.5622188231059877
2010-07-31,1.6373900721981194
2010-08-31,1.4823951558645243
2010-09-30,1.419551296404098
2010-10-31,1.3584198610352205
2010-11-30,1.3071968137772894
2010-12-31,1.477668197333748
2011-01-31,1.5598650927487467
2011-02-28,1.8450307320212025
2011-03-31,2.1105460830258993
2011-04-30,2.488096556306063
2011-05-31,2.7662471357885243
2011-06-30,2.7884519551278464
2011-07-31,2.875699838456258
2011-08-31,2.9767297960266115
2011-09-30,3.0190303779583205
2011-10-31,2.693632332390705
2011-11-30,2.6992598449408156
2011-12-31,2.5266248849541872
2012-01-31,2.569312446745764
2012-02-29,2.5131540246413397
2012-03-31,2.2980274721697835
2012-04-30,1.9998487418563693
2012-05-31,1.5769404769598871
2012-06-30,1.5460196726963191
2012-07-31,1.4100261354958563
2012-08-31,1.51186746212284
2012-09-30,1.6779710051753494
2012-10-31,1.9768774978838444
2012-11-30,1.6991017964071764
2012-12-31,1.6243828413875503
2013-01-31,1.470807506336924
2013-02-28,1.6046076681118793
2013-03-31,1.276992915022701
2013-04-30,1.0412253198881505
2013-05-31,1.2290301372187118
2013-06-30,1.5055063976064709
2013-07-31,1.5951128457492023
2013-08-31,1.4047883304264983
2013-09-30,1.1412854478201728
2013-10-31,0.9761069199571092
2013-11-30,1.1954704602088029
2013-12-31,1.3881001955959429
2014-01-31,1.4054054054054133
2014-02-28,1.0939820528374389
2014-03-31,1.38970341823057
2014-04-30,1.6731138157687786
2014-05-31,1.7661662878033946
2014-06-30,1.6514586142380772
2014-07-31,1.6692416903290486
2014-08-31,1.5062438759980925
2014-09-30,1.497249312328086
2014-10-31,1.3329448612426242
2014-11-30,1.0857594081832067
2014-12-31,0.7322588005891362
2015-01-31,0.0414018672242111
2015-02-28,0.1707014276846719
2015-03-31,0.1993492743892932
2015-04-30,0.110324064049827
2015-05-31,0.1852862157349033
2015-06-30,0.2704286757220897
2015-07-31,0.2197328295222345
2015-08-31,0.2392713007937974
2015-09-30,0.0656996499440509
2015-10-31,0.0954982337961096
2015-11-30,0.2538775426298434
2015-12-31,0.3459637561779249
2016-01-31,0.8711486332691809
2016-02-29,0.640330493157748
2016-03-31,0.6855104733630268
2016-04-30,0.9259068531526138
2016-05-31,0.8486853596638255
2016-06-30,0.8296074490339977
2016-07-31,0.7550842682239489
2016-08-31,0.8882104659263312
2016-09-30,1.2197749212634612
2016-10-31,1.427003293084517
2016-11-30,1.3974040886628902
2016-12-31,1.6571581021178838
2017-01-31,2.0052104701731244
2017-02-28,2.1971368464261953
2017-03-31,1.9063610209576696
2017-04-30,1.76747318686028
2017-05-31,1.557772049759043
2017-06-30,1.4655479277905004
2017-07-31,1.4856317748266346
2017-08-31,1.5719087318108338
2017-09-30,1.757444307056133
2017-10-31,1.6820407007323013
2017-11-30,1.7937129048240186
2017-12-31,1.7664099484208329
2018-01-31,1.7576494957315614
2018-02-28,1.8376076958608545
2018-03-31,1.998292058070028
2018-04-30,2.0466282276259795
2018-05-31,2.2662065367869744
2018-06-30,2.268307840346395
2018-07-31,2.3386070559001215
2018-08-31,2.180411288951989
2018-09-30,2.009960159362545
2018-10-31,2.053098049357893
2018-11-30,1.9418922274646144
2018-12-31,1.8646908878110713
2019-01-31,1.4318323303589953
2019-02-28,1.4001735426362627
2019-03-31,1.5218076513927814
2019-04-30,1.5663384627478738
2019-05-31,1.4655536045359518
2019-06-30,1.4260651383430245
2019-07-31,1.4539295260287632
2019-08-31,1.4304164057608038
2019-09-30,1.2839539924622612
2019-10-31,1.2885618207514993
2019-11-30,1.3582773068303575
2019-12-31,1.5637627676458932
2020-01-31,1.7944821136310465
2020-02-29,1.689097203314005
2020-03-31,1.1662090444265472
2020-04-30,0.4624613003096023
2020-05-31,0.4901629042393773
2020-06-30,0.7595377063120967
2020-07-31,0.9225840072571544
2020-08-31,1.157519050834388
2020-09-30,1.27635371578958
2020-10-31,1.187486166844698
2020-11-30,1.186264708144269
2020-12-31,1.334522131784066
2021-01-31,1.5857976839888988
2021-02-28,1.8427318715156016
2021-03-31,2.669006722866385
2021-04-30,3.640285829850342
2021-05-31,4.07246348925363
2021-06-30,4.306128320705871
2021-07-31,4.473216164011551
2021-08-31,4.580909697720981
2021-09-30,4.737428253233955
2021-10-31,5.336135652537788
2021-11-30,5.93019057933839
2021-12-31,6.141969176624196
2022-01-31,6.272433512016362
2022-02-28,6.545539906103293
2022-03-31,6.926410970164576
2022-04-30,6.684755338326309
2022-05-31,6.794545874740021
2022-06-30,7.243471864656126
2022-07-31,6.7502013619389345
2022-08-31,6.6396775899483895
2022-09-30,6.667939000672507
2022-10-31,6.461602354598139
2022-11-30,6.030493273542614
2022-12-31,5.520050627946982
2023-01-31,5.507734586232882
2023-02-28,5.197803844154003
2023-03-31,4.428273156924578
2023-04-30,4.476012960317743
2023-05-31,4.003462454014284
2023-06-30,3.284521339529123
2023-07-31,3.40904219289897
2023-08-31,3.43205991996991
2023-09-30,3.4488928270185903
2023-10-31,3.0232617305099296
2023-11-30,2.7650899986466193
2023-12-31,2.767265846736034
2024-01-31,2.6987514493606035
2024-02-29,2.705057426970159
2024-03-31,2.9279392327126175
2024-04-30,2.826154012888593
2024-05-31,2.6616729088639213
2024-06-30,2.548373440470164
2024-07-31,2.594376777467322
2024-08-31,2.412994957427461
2024-09-30,2.260766436883843
2024-10-31,2.4776925356425616
2024-11-30,2.5878034125423
2024-12-31,2.7280946901200087
2025-01-31,2.607379530393517
2025-02-28,2.7104846734857135
2025-03-31,2.3594336708984365
2025-04-30,2.2774259978433964
2025-05-31,2.4580860654408676
2025-06-30,2.5935129797068024
2025-07-31,2.605547294239341
2025-08-31,2.7476208541517
2025-09-30,2.7874424148706556
2025-10-31,2.7125805259691216
2025-11-30,2.8201898312699925
2025-12-31,2.878083518031027
2026-01-31,2.856869483403357
2026-02-28,2.829551861881652
2026-03-31,3.496081498479442
